Frequency(Hz),Transmission Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
26003328,-15.65,-141.62,375.2,0.00,-376.4,531.5,0.0
26003424,-15.88,-141.89,389.7,0.00,-384.2,547.2,0.0
26003520,-16.09,-142.14,403.1,0.00,-391.1,561.6,0.0
26003616,-16.32,-142.45,418.9,0.00,-398.9,578.5,0.0
26003712,-16.51,-142.86,433.6,0.00,-404.1,592.7,0.0
26003808,-16.70,-143.21,448.0,0.00,-409.8,607.2,0.0
26003904,-16.91,-143.56,463.4,0.00,-416.0,622.7,0.0
26004000,-17.14,-143.73,480.2,0.00,-425.7,641.8,0.0
26004096,-17.30,-144.02,492.8,0.00,-430.4,654.3,0.0
26004192,-17.50,-144.24,508.4,0.00,-438.1,671.1,0.0
26004288,-17.67,-144.56,523.4,0.00,-443.7,686.1,0.0
26004384,-17.86,-144.69,537.7,0.00,-451.7,702.3,0.0
26004480,-18.04,-144.99,553.4,0.00,-457.7,718.2,0.0
26004576,-18.25,-145.07,570.3,0.00,-468.1,737.8,0.0
26004672,-18.43,-145.27,585.8,0.00,-475.4,754.5,0.0
26004768,-18.59,-145.45,600.2,0.00,-482.2,769.9,0.0
26004864,-18.74,-145.64,614.1,0.00,-488.2,784.5,0.0
26004960,-18.94,-145.69,631.0,0.00,-498.8,804.3,0.0
26005056,-19.09,-146.06,647.0,0.00,-502.7,819.3,0.0
26005152,-19.27,-146.04,662.3,0.00,-513.4,838.0,0.0
26005248,-19.40,-146.31,676.7,0.00,-517.8,852.1,0.0
26005344,-19.57,-146.52,693.9,0.00,-525.1,870.2,0.0
26005440,-19.73,-146.63,709.4,0.00,-533.1,887.4,0.0
26005536,-19.89,-146.88,726.7,0.00,-539.3,905.0,0.0
26005632,-20.07,-146.97,744.8,0.00,-549.4,925.5,0.0
26005728,-20.20,-146.91,757.4,0.00,-558.7,941.2,0.0
26005824,-20.35,-147.13,774.9,0.00,-565.3,959.2,0.0
26005920,-20.53,-147.18,793.2,0.00,-576.1,980.3,0.0
