Frequency(Hz),Transmission Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
25997760,-6.18,-26.77,81.8,0.00,91.7,122.9,0.0
25997770,-5.97,-25.88,78.9,0.00,86.8,117.3,0.0
25997780,-6.15,-27.05,80.8,0.00,92.3,122.6,0.0
25997790,-6.05,-26.81,79.2,0.00,90.6,120.3,0.0
25997800,-6.07,-27.22,78.9,0.00,92.0,121.2,0.0
25997810,-6.04,-27.46,77.9,0.00,92.5,120.9,0.0
25997820,-5.93,-27.10,76.2,0.00,90.2,118.1,0.0
25997830,-5.97,-27.59,76.2,0.00,92.1,119.6,0.0
25997840,-5.92,-27.63,75.1,0.00,91.6,118.4,0.0
25997850,-5.94,-28.16,74.6,0.00,93.5,119.6,0.0
25997860,-5.93,-28.46,74.0,0.00,94.4,119.9,0.0
25997870,-5.91,-28.68,73.2,0.00,94.7,119.8,0.0
25997880,-5.94,-29.14,73.0,0.00,96.4,121.0,0.0
25997890,-6.07,-30.37,73.5,0.00,101.6,125.4,0.0
25997900,-6.00,-30.46,71.9,0.00,101.1,124.1,0.0
25997910,-5.91,-30.19,70.6,0.00,99.3,121.8,0.0
25997920,-5.97,-30.98,70.5,0.00,102.4,124.3,0.0
25997930,-6.06,-31.96,70.4,0.00,106.3,127.5,0.0
25997940,-5.92,-31.66,68.2,0.00,103.7,124.2,0.0
25997950,-5.85,-31.70,66.9,0.00,103.1,122.9,0.0
25997960,-5.86,-32.17,66.1,0.00,104.5,123.7,0.0
25997970,-5.96,-33.28,66.0,0.00,108.9,127.4,0.0
25997980,-5.89,-33.50,64.3,0.00,108.7,126.3,0.0
25997990,-5.79,-33.25,62.9,0.00,106.8,124.0,0.0
25998000,-5.94,-34.76,62.8,0.00,112.9,129.2,0.0
25998010,-5.84,-34.51,61.5,0.00,111.0,126.9,0.0
25998020,-5.77,-34.61,60.0,0.00,110.4,125.6,0.0
25998030,-5.76,-35.27,58.4,0.00,112.0,126.3,0.0
25998040,-5.77,-35.95,57.4,0.00,114.1,127.7,0.0
25998050,-5.71,-35.97,56.1,0.00,113.3,126.5,0.0
25998060,-5.70,-36.59,54.8,0.00,114.9,127.3,0.0
25998070,-5.82,-38.42,53.2,0.00,121.5,132.6,0.0
25998080,-5.76,-38.52,51.8,0.00,120.8,131.4,0.0
25998090,-5.65,-38.30,50.5,0.00,118.8,129.1,0.0
25998100,-5.75,-39.83,48.9,0.00,124.2,133.5,0.0
25998110,-5.72,-40.10,47.7,0.00,124.4,133.2,0.0
25998120,-5.69,-40.81,45.7,0.00,125.8,133.8,0.0
25998130,-5.68,-41.50,44.0,0.00,127.4,134.7,0.0
25998140,-5.54,-40.90,43.1,0.00,123.9,131.2,0.0
25998150,-5.53,-41.60,41.3,0.00,125.5,132.1,0.0
25998160,-5.57,-42.99,39.0,0.00,129.5,135.3,0.0
25998170,-5.47,-42.87,37.5,0.00,127.7,133.1,0.0
25998180,-5.51,-44.10,35.5,0.00,131.3,136.0,0.0
25998190,-5.44,-44.07,34.4,0.00,130.1,134.5,0.0
25998200,-5.46,-45.48,31.5,0.00,133.7,137.3,0.0
25998210,-5.36,-45.30,30.4,0.00,131.8,135.2,0.0
25998220,-5.41,-46.74,27.8,0.00,135.8,138.6,0.0
25998230,-5.28,-46.21,27.2,0.00,132.6,135.4,0.0
25998240,-5.27,-46.99,25.2,0.00,134.2,136.5,0.0
25998250,-5.25,-47.89,22.7,0.00,135.8,137.7,0.0
25998260,-5.20,-48.52,20.6,0.00,136.4,137.9,0.0
25998270,-5.20,-49.23,18.8,0.00,137.8,139.1,0.0
25998280,-5.14,-49.50,17.4,0.00,137.4,138.5,0.0
25998290,-5.13,-50.79,14.2,0.00,139.9,140.6,0.0
25998300,-5.10,-51.47,12.0,0.00,140.7,141.2,0.0
25998310,-5.02,-51.46,11.1,0.00,139.4,139.9,0.0
25998320,-5.01,-52.52,8.3,0.00,141.3,141.5,0.0
25998330,-5.00,-53.26,6.4,0.00,142.5,142.6,0.0
25998340,-4.94,-53.93,3.9,0.00,142.7,142.7,0.0
25998350,-4.89,-54.39,2.2,0.00,142.7,142.7,0.0
25998360,-4.85,-54.93,0.5,0.00,143.1,143.1,0.0
25998370,-4.84,-55.69,-1.6,0.00,144.2,144.2,0.0
25998380,-4.77,-56.34,-4.0,0.00,144.1,144.2,0.0
25998390,-4.73,-56.89,-5.8,0.00,144.4,144.5,0.0
25998400,-4.71,-57.75,-8.2,0.00,145.4,145.7,0.0
25998410,-4.67,-58.36,-10.2,0.00,145.8,146.2,0.0
25998420,-4.63,-58.92,-12.0,0.00,146.0,146.5,0.0
25998430,-4.59,-59.67,-14.4,0.00,146.3,147.0,0.0
25998440,-4.55,-60.24,-16.2,0.00,146.6,147.5,0.0
25998450,-4.52,-60.90,-18.1,0.00,147.1,148.2,0.0
25998460,-4.48,-61.20,-19.4,0.00,146.7,148.0,0.0
25998470,-4.43,-62.19,-22.3,0.00,147.3,149.0,0.0
25998480,-4.40,-62.91,-24.4,0.00,147.8,149.8,0.0
25998490,-4.37,-63.52,-26.3,0.00,148.0,150.3,0.0
25998500,-4.33,-64.32,-28.6,0.00,148.4,151.1,0.0
25998510,-4.28,-64.67,-30.0,0.00,147.9,150.9,0.0
25998520,-4.25,-65.57,-32.5,0.00,148.6,152.1,0.0
25998530,-4.22,-66.07,-34.1,0.00,148.5,152.4,0.0
25998540,-4.18,-66.29,-34.9,0.00,148.1,152.2,0.0
